MovieID,Title,MPAA_Rating,Budget,Gross,Release_Date,Genre,Runtime,Rating,Rating_Count,Summary
102,Dumb and Dumber-1994,PG-13,17000000,247300000,12/16/1994,Comedy,107,7.3,334497,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen, to return the briefcase to its owner."
106,Legends of the Fall-1994,R,30000000,160600000,12/16/1994,Drama,133,7.5,136361,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
123,Father of the Bride Part II-1995,PG,30000000,76600000,2/10/1995,Comedy,106,6,31971,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
120,While You Were Sleeping-1995,PG,17000000,182000000,4/21/1995,Romance,103,6.7,85626,A hopeless romantic Chicago Transit Authority token collector is mistaken for the fiancï¿½e of a coma patient.
132,Crimson Tide-1995,R,53000000,157400000,5/12/1995,Thriller,116,7.3,95145,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so."
137,Die Hard: With a Vengeance-1995,R,90000000,366100000,5/19/1995,Thriller,128,5.4,224254,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building."
136,Braveheart-1995,R,70000000,213200000,5/24/1995,Action,177,8.3,907287,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England."
129,Casper-1995,PG,55000000,287900000,5/26/1995,Family,100,6.1,110490,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
130,Congo-1995,PG-13,50000000,152000000,6/9/1995,Drama,109,5.2,39870,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong."
133,Pocahontas-1995,G,55000000,346100000,6/14/1995,Animation,81,6.7,156670,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
138,Batman Forever-1995,PG-13,100000000,336600000,6/16/1995,Action,121,5.4,224254,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin."
131,Apollo 13-1995,PG,52000000,355200000,6/30/1995,Drama,140,7.6,250975,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
139,Waterworld-1995,PG-13,175000000,264200000,7/28/1995,Action,135,6.2,169984,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw smokers, and reluctantly helps a woman and a young girl try to find dry land."
121,Dangerous Minds-1995,R,23000000,179500000,8/11/1995,Crime,99,6.5,45479,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
128,Se7en-1995,R,33000000,327300000,9/22/1995,Action,127,8.6,1323681,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
126,Get Shorty-1995,R,30000000,115100000,10/20/1995,Comedy,105,6.9,72078,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
124,Toy Story-1995,G,30000000,394400000,10/30/1995,Animation,81,8.3,820625,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room.
125,Ace Ventura: When Nature Calls-1995,PG-13,30000000,212400000,11/10/1995,Comedy,90,6.4,191266,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
134,GoldenEye-1995,PG-13,60000000,356400000,11/16/1995,Action,130,7.2,226013,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as Goldeneye is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
135,Jumanji-1995,PG,65000000,262800000,12/15/1995,Family,104,7,277496,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game."
122,Grumpier Old Men-1995,PG-13,25000000,71500000,12/22/1995,Comedy,101,6.7,22759,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Maxs attention."
127,Mr. Holland's Opus-1995,PG,31000000,106300000,12/29/1995,Family,137,7.3,33906,A frustrated composer finds fulfillment as a high school music teacher.
147,Broken Arrow-1996,R,50000000,150200000,2/9/1996,Thriller,108,6,86863,Terrorists steal nuclear warheads from the U.S. military but dont count on a pilot and park ranger spoiling their plans.
143,The Birdcage-1996,R,31000000,185300000,3/8/1996,Comedy,117,7.1,74466,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancï¿½es right-wing moralistic parents.
156,Twister-1996,PG-13,92000000,495700000,5/10/1996,Action,113,6.4,164803,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes."
153,Mission: Impossible-1996,PG-13,80000000,457700000,5/22/1996,Action,110,7.1,365266,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
151,The Rock-1996,R,75000000,335100000,6/6/1996,Action,136,7.4,297268,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."
157,The Hunchback of Notre Dame-1996,PG,70000000,325300000,6/21/1996,Animation,91,6.9,130850,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer."
158,Eraser-1996,R,100000000,242300000,6/21/1996,Drama,115,6.1,98473,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.
